ocorrencia_classificacao;ocorrencia_uf;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo_veiculo;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano
INCIDENTE GRAVE;BA;1;SIM;AVIÃO;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;PE;1;NÃO;***;***;***;CRUZEIRO;REGULAR;NENHUM
INCIDENTE GRAVE;AC;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;APROXIMAÇÃO FINAL;TÁXI AÉREO;NENHUM
ACIDENTE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;ESPECIALIZADA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;***;***;***;CRUZEIRO;REGULAR;NENHUM
INCIDENTE;MT;1;SIM;AVIÃO;TURBOÉLICE;MONOMOTOR;TÁXI;NÃO REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;***;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;RJ;1;NÃO;AVIÃO;JATO;BIMOTOR;DESCIDA;REGULAR;NENHUM
INCIDENTE;RJ;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;CRUZEIRO;TÁXI AÉREO;NENHUM
ACIDENTE;PA;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
ACIDENTE;MG;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;DECOLAGEM;INSTRUÇÃO;SUBSTANCIAL
INCIDENTE GRAVE;PR;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;RJ;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;RJ;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;JATO;BIMOTOR;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE;AM;1;NÃO;AVIÃO;***;***;DECOLAGEM;TÁXI AÉREO;LEVE
INCIDENTE;BA;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DESCIDA;REGULAR;NENHUM
